name,stars,forks,watchers,url
ithub.com/repos/box/flaky
pytest-flakefinder,74,10,74,https://api.github.com/repos/dropbox/pytest-flakefinder
pytest-replay,31,2,31,https://api.github.com/repos/ESSS/pytest-replay
pytest-sentry,29,3,29,https://api.github.com/repos/getsentry/pytest-sentry
deflake,3,6,3,https://api.github.com/repos/ncbi/deflake
circleci-flaky,3,0,3,https://api.github.com/repos/ryanwilsonperkin/circleci-flaky
pytest-failed-to-verify,3,1,3,https://api.github.com/repos/gastrofix-gmbh/pytest-failed-to-verify
pytest-ignore-flaky,2,2,2,https://api.github.com/repos/schettino72/pytest-ignore-flaky
buildpulse-example-pytest,2,0,2,https://api.github.com/repos/buildpulse/buildpulse-example-pytest
FlakyDate,1,1,1,https://api.github.com/repos/JustinTArthur/FlakyDate
Flaky,1,0,1,https://api.github.com/repos/whilefalse/Flaky
MicroEarthquake.BAK,1,0,1,https://api.github.com/repos/AkihiroSuda/MicroEarthquake.BAK
FLAST,1,1,1,https://api.github.com/repos/ICSE2020-FLAST/FLAST
python-unittest-skeleton,1,0,1,https://api.github.com/repos/sverrirab/python-unittest-skeleton
FlakyFish,0,0,0,https://api.github.com/repos/gulubao/FlakyFish
FlakyGithubWebCrawler,0,0,0,https://api.github.com/repos/JoshSu/FlakyGithubWebCrawler
FlakyTestDetector,0,0,0,https://api.github.com/repos/Dhanavarsha/FlakyTestDetector
flaky,0,0,0,https://api.github.com/repos/jpoikela1/flaky
flakypy,0,1,0,https://api.github.com/repos/steder/flakypy
flaky-demo,0,0,0,https://api.github.com/repos/ges0909/flaky-demo
jenkins_flaky,0,1,0,https://api.github.com/repos/daviddanielarch-zz/jenkins_flaky
circleci-flaky-detector,0,0,0,https://api.github.com/repos/soloidx/circleci-flaky-detector
my-flaky-blog,0,0,0,https://api.github.com/repos/lars10192002/my-flaky-blog
flaky_tests_variant_analysis,0,1,0,https://api.github.com/repos/daviddanielarch-zz/flaky_tests_variant_analysis
monoFlakyML,0,1,0,https://api.github.com/repos/t-wiwon/monoFlakyML
flaky-test-lifecycle-data,0,0,0,https://api.github.com/repos/winglam/flaky-test-lifecycle-data
InspectFabricFlakyTests,0,0,0,https://api.github.com/repos/ronenschafferibm/InspectFabricFlakyTests
Flaky_Test_Fixers,0,0,0,https://api.github.com/repos/yashsaboo/Flaky_Test_Fixers
AtFlakyTests,0,0,0,https://api.github.com/repos/GuillaumeHaben/AtFlakyTests
bachelorThesisFlakyProjects,0,0,0,https://api.github.com/repos/Titanflex/bachelorThesisFlakyProjects
ubuntu-python-flaky,0,0,0,https://api.github.com/repos/guillaume-humbert/ubuntu-python-flaky
rdc-flaky-draw-call-finder,0,0,0,https://api.github.com/repos/werman/rdc-flaky-draw-call-finder
autoreconnect,0,0,0,https://api.github.com/repos/davidnk/autoreconnect
mre-loop-closed,0,0,0,https://api.github.com/repos/dimaqq/mre-loop-closed
pypiece,0,1,0,https://api.github.com/repos/lensvol/pypiece
mvn-testalot,0,0,0,https://api.github.com/repos/walles/mvn-testalot
OOPSLA21,0,0,0,https://api.github.com/repos/Test-Flaky/OOPSLA21
wpt-disabled-tests-report,0,1,0,https://api.github.com/repos/bocoup/wpt-disabled-tests-report
pytest-fleetflakefinder,0,0,0,https://api.github.com/repos/testprogress/pytest-fleetflakefinder
furnace_workaround,0,0,0,https://api.github.com/repos/jbarratt/furnace_workaround
firefox-build-crash,0,0,0,https://api.github.com/repos/CESEL/firefox-build-crash
deflaker,0,0,0,https://api.github.com/repos/perclasson/deflaker
MoonLocal,0,0,0,https://api.github.com/repos/fubar2/MoonLocal
motify,0,0,0,https://api.github.com/repos/tpillow/motify
FLAST,0,2,0,https://api.github.com/repos/FlakinessStaticDetection/FLAST
